name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.73GiB freeMemory: 10.57GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.55s/it]
dataset has 76768927 tokens
Training...
[511 | 324.92] loss=3.04 avg=3.01
[512 | 325.55] loss=2.81 avg=3.01
[513 | 326.18] loss=2.95 avg=3.01
[514 | 326.81] loss=3.40 avg=3.01
[515 | 327.44] loss=3.09 avg=3.01
[516 | 328.06] loss=2.89 avg=3.01
[517 | 328.69] loss=3.14 avg=3.01
[518 | 329.32] loss=3.74 avg=3.02
[519 | 329.95] loss=3.23 avg=3.02
[520 | 330.57] loss=2.72 avg=3.02
[521 | 331.20] loss=3.71 avg=3.02
[522 | 331.83] loss=3.15 avg=3.03
[523 | 332.46] loss=3.03 avg=3.03
[524 | 333.08] loss=3.32 avg=3.03
[525 | 333.71] loss=3.15 avg=3.03
[526 | 334.34] loss=3.64 avg=3.04
[527 | 334.97] loss=3.19 avg=3.04
[528 | 335.60] loss=3.18 avg=3.04
[529 | 336.22] loss=3.01 avg=3.04
[530 | 336.85] loss=2.78 avg=3.04
[531 | 337.48] loss=3.16 avg=3.04
[532 | 338.11] loss=3.26 avg=3.04
[533 | 338.74] loss=3.39 avg=3.04
[534 | 339.36] loss=2.83 avg=3.04
[535 | 339.99] loss=2.86 avg=3.04
[536 | 340.62] loss=3.13 avg=3.04
[537 | 341.25] loss=3.08 avg=3.04
[538 | 341.87] loss=3.28 avg=3.04
[539 | 342.50] loss=2.94 avg=3.04
[540 | 343.13] loss=2.95 avg=3.04
[541 | 343.76] loss=3.32 avg=3.04
[542 | 344.38] loss=2.77 avg=3.04
[543 | 345.01] loss=3.02 avg=3.04
[544 | 345.64] loss=3.31 avg=3.04
[545 | 346.27] loss=2.95 avg=3.04
[546 | 346.89] loss=1.92 avg=3.03
[547 | 347.52] loss=2.87 avg=3.03
[548 | 348.15] loss=2.89 avg=3.03
[549 | 348.78] loss=3.27 avg=3.03
[550 | 349.41] loss=3.09 avg=3.03
[551 | 350.04] loss=3.11 avg=3.03
[552 | 350.66] loss=3.05 avg=3.03
[553 | 351.29] loss=2.92 avg=3.03
[554 | 351.92] loss=3.12 avg=3.03
[555 | 352.55] loss=2.94 avg=3.03
[556 | 353.17] loss=2.71 avg=3.03
[557 | 353.80] loss=2.77 avg=3.03
[558 | 354.43] loss=3.04 avg=3.03
[559 | 355.06] loss=2.85 avg=3.02
[560 | 355.68] loss=2.97 avg=3.02
[561 | 356.31] loss=3.18 avg=3.02
[562 | 356.94] loss=3.09 avg=3.03
[563 | 357.57] loss=3.16 avg=3.03
[564 | 358.20] loss=2.63 avg=3.02
[565 | 358.82] loss=3.15 avg=3.02
[566 | 359.45] loss=3.32 avg=3.03
